Age,Balance,NumOfProducts,Exited,ChurnRiskScore,RiskCategory
56,148507.24,1,1,89.5,High Risk
41,0.0,2,0,4.0,Low Risk
24,101827.07,1,0,1.0,Low Risk
34,0.0,2,0,0.5,Low Risk
33,130862.43,1,0,18.5,Low Risk
38,122570.87,1,0,2.0,Low Risk
25,0.0,2,0,0.5,Low Risk
39,124828.46,2,0,3.0,Low Risk
50,144895.05,2,0,13.0,Low Risk
34,63663.93,1,0,3.5000000000000004,Low Risk
40,133463.1,1,0,5.5,Low Risk
48,213146.2,1,1,59.0,Medium Risk
35,129490.36,2,1,66.5,Medium Risk
44,137452.09,1,0,24.0,Low Risk
34,0.0,2,0,0.0,
43,125851.93,1,0,5.0,Low Risk
52,0.0,1,1,88.5,High Risk
31,40915.55,1,1,48.5,Medium Risk
21,113157.22,1,0,4.0,Low Risk
29,138296.94,2,0,12.0,Low Risk
37,106967.18,1,0,2.0,Low Risk
44,120681.63,1,0,30.5,Low Risk
32,0.0,2,0,9.5,Low Risk
32,0.0,2,0,0.0,
48,0.0,1,1,91.0,High Risk
42,0.0,2,0,10.0,Low Risk
37,127609.59,1,0,0.5,Low Risk
43,0.0,2,0,2.0,Low Risk
57,0.0,1,1,96.0,High Risk
33,0.0,2,0,0.5,Low Risk
28,0.0,2,0,0.5,Low Risk
73,97259.25,1,0,5.0,Low Risk
33,123246.7,1,0,27.0,Low Risk
22,101060.25,1,0,6.5,Low Risk
30,0.0,2,0,3.0,Low Risk
49,108007.36,1,0,18.0,Low Risk
36,0.0,2,0,0.5,Low Risk
29,133702.89,1,1,74.0,High Risk
31,125189.75,2,0,4.0,Low Risk
24,113034.22,1,1,19.5,Low Risk
41,109013.23,1,0,16.0,Low Risk
39,0.0,2,1,61.0,Medium Risk
24,57929.81,2,0,4.0,Low Risk
29,130114.39,1,0,16.0,Low Risk
27,95826.49,2,0,2.5,Low Risk
44,129608.57,1,1,88.5,High Risk
30,169462.09,1,0,2.5,Low Risk
40,0.0,2,0,0.0,
35,133868.21,1,0,9.5,Low Risk
30,0.0,2,0,2.0,Low Risk
36,190479.48,2,0,1.0,Low Risk
40,101993.12,1,0,1.5,Low Risk
55,161608.81,1,1,79.0,High Risk
45,122311.21,1,0,10.5,Low Risk
65,0.0,2,0,4.0,Low Risk
45,162150.42,2,0,28.499999999999996,Low Risk
42,0.0,2,0,0.0,
50,0.0,1,1,89.5,High Risk
32,0.0,2,0,0.0,
39,99010.67,1,0,16.0,Low Risk
37,0.0,1,0,11.0,Low Risk
30,0.0,2,0,0.5,Low Risk
34,111388.18,2,0,0.5,Low Risk
41,56214.85,2,1,65.0,Medium Risk
36,84327.77,2,0,4.5,Low Risk
40,0.0,2,0,1.5,Low Risk
32,93012.89,1,0,2.5,Low Risk
29,61710.44,2,0,2.0,Low Risk
35,174790.15,1,0,22.5,Low Risk
32,0.0,2,0,0.0,
37,107720.64,1,0,11.5,Low Risk
57,0.0,2,0,3.5000000000000004,Low Risk
35,96423.84,1,0,3.5000000000000004,Low Risk
30,141040.01,1,0,2.5,Low Risk
42,105420.18,1,0,20.5,Low Risk
50,0.0,1,1,74.5,High Risk
38,129022.06,2,1,63.0,Medium Risk
33,176666.62,1,0,24.0,Low Risk
37,0.0,1,0,6.5,Low Risk
41,89763.84,1,1,77.0,High Risk
34,134954.53,1,0,0.5,Low Risk
45,0.0,1,1,89.0,High Risk
45,106376.85,1,0,19.5,Low Risk
33,161814.64,2,0,1.0,Low Risk
31,0.0,2,0,0.0,
41,0.0,2,0,4.5,Low Risk
34,63095.01,1,0,2.5,Low Risk
26,118287.01,2,0,3.5000000000000004,Low Risk
47,106854.21,1,1,61.5,Medium Risk
46,49512.55,1,0,19.5,Low Risk
33,0.0,2,0,0.5,Low Risk
43,105799.32,2,1,15.5,Low Risk
54,0.0,1,1,75.0,High Risk
31,114722.05,2,0,1.5,Low Risk
30,0.0,1,0,6.5,Low Risk
42,0.0,2,0,0.0,
33,0.0,1,1,29.5,Low Risk
45,99564.22,1,1,80.5,High Risk
37,170557.91,2,0,3.5000000000000004,Low Risk
30,0.0,2,0,0.0,
39,74596.15,3,1,97.0,High Risk
50,96888.39,1,1,89.5,High Risk
29,130830.22,1,0,12.0,Low Risk
72,0.0,2,0,0.0,
40,0.0,2,0,0.5,Low Risk
37,0.0,2,0,1.5,Low Risk
20,119714.25,2,0,2.5,Low Risk
67,113978.97,2,0,3.0,Low Risk
42,100160.75,1,1,74.5,High Risk
29,0.0,1,0,4.5,Low Risk
43,116220.5,3,1,98.0,High Risk
46,0.0,3,1,93.0,High Risk
28,81173.83,2,0,1.0,Low Risk
38,0.0,2,0,0.5,Low Risk
39,116803.8,1,0,10.0,Low Risk
37,105961.68,2,0,1.5,Low Risk
67,117411.6,1,1,22.0,Low Risk
34,0.0,2,0,0.0,
40,123497.58,1,1,74.0,High Risk
26,152400.51,2,0,2.5,Low Risk
26,0.0,2,0,5.0,Low Risk
24,103097.85,1,0,1.5,Low Risk
54,126418.14,1,1,97.0,High Risk
36,77846.9,1,0,10.5,Low Risk
34,0.0,2,0,1.5,Low Risk
79,0.0,2,0,3.0,Low Risk
37,79731.91,1,0,5.0,Low Risk
28,0.0,1,0,6.0,Low Risk
41,0.0,2,0,8.5,Low Risk
34,0.0,2,0,1.5,Low Risk
34,37266.67,2,0,3.0,Low Risk
30,127992.25,1,0,7.000000000000001,Low Risk
38,54901.01,1,0,11.0,Low Risk
42,108748.08,2,0,6.5,Low Risk
48,99906.19,1,0,22.0,Low Risk
32,184686.41,2,0,6.5,Low Risk
26,110654.02,1,0,2.0,Low Risk
31,79019.8,1,0,4.0,Low Risk
36,99240.51,1,0,4.0,Low Risk
34,0.0,2,0,0.0,
36,0.0,2,0,0.0,
39,0.0,1,1,80.0,High Risk
35,52436.2,1,0,3.5000000000000004,Low Risk
41,0.0,2,0,1.5,Low Risk
34,100337.96,3,1,94.0,High Risk
34,149297.19,2,0,1.5,Low Risk
30,0.0,2,0,0.0,
28,145605.44,1,0,6.0,Low Risk
37,0.0,2,0,0.0,
62,0.0,1,1,80.5,High Risk
53,0.0,2,0,19.5,Low Risk
35,84026.86,1,0,5.0,Low Risk
46,0.0,1,1,53.5,Medium Risk
39,0.0,2,0,0.5,Low Risk
29,0.0,2,0,1.5,Low Risk
35,138718.92,1,1,72.5,High Risk
42,118274.71,1,0,3.0,Low Risk
22,174185.98,2,0,3.5000000000000004,Low Risk
40,113208.86,2,0,3.5000000000000004,Low Risk
29,103907.28,1,0,9.5,Low Risk
32,119023.28,1,0,8.0,Low Risk
26,166297.89,1,0,19.5,Low Risk
34,0.0,2,0,0.0,
42,63227.0,1,0,6.0,Low Risk
41,94521.17,2,0,9.0,Low Risk
27,0.0,2,0,0.0,
34,112822.26,1,1,9.5,Low Risk
38,0.0,2,0,0.0,
25,135903.33,1,0,5.0,Low Risk
31,125169.26,1,0,2.0,Low Risk
44,0.0,3,1,92.5,High Risk
58,149117.31,1,0,14.499999999999998,Low Risk
33,0.0,2,0,0.0,
31,0.0,2,0,1.5,Low Risk
36,132311.71,1,0,4.5,Low Risk
35,0.0,2,0,0.0,
33,0.0,2,0,0.0,
33,118082.89,1,0,0.5,Low Risk
31,119266.69,1,0,0.5,Low Risk
43,0.0,1,1,34.0,Low Risk
35,156847.29,2,0,4.0,Low Risk
50,137104.47,1,1,63.0,Medium Risk
31,78398.69,1,0,28.999999999999996,Low Risk
80,0.0,2,0,0.5,Low Risk
30,63669.42,1,0,1.0,Low Risk
38,0.0,2,0,1.5,Low Risk
59,135296.33,1,0,37.0,Low Risk
36,153804.44,1,0,1.5,Low Risk
37,0.0,2,0,2.5,Low Risk
49,147069.78,1,1,64.0,Medium Risk
42,0.0,2,0,5.5,Low Risk
22,0.0,1,0,9.0,Low Risk
24,95741.75,1,0,6.0,Low Risk
57,145965.33,1,0,10.5,Low Risk
30,141441.75,1,0,4.5,Low Risk
40,139290.41,1,1,67.0,Medium Risk
31,0.0,2,0,0.0,
30,0.0,2,0,0.0,
35,144428.87,1,0,2.5,Low Risk
35,0.0,2,0,5.5,Low Risk
46,95441.27,1,1,78.0,High Risk
35,144848.74,1,0,7.5,Low Risk
26,116244.14,2,0,2.0,Low Risk
50,0.0,2,0,4.5,Low Risk
40,146502.07,1,0,8.0,Low Risk
44,117028.6,2,0,20.0,Low Risk
30,112013.81,1,1,81.5,High Risk
37,108269.37,1,0,7.000000000000001,Low Risk
29,182123.79,1,1,68.5,Medium Risk
32,150923.74,2,0,4.0,Low Risk
33,0.0,2,0,0.5,Low Risk
39,165272.13,1,1,65.5,Medium Risk
39,115301.31,1,1,85.5,High Risk
40,129502.49,2,1,12.5,Low Risk
31,118342.26,1,0,1.5,Low Risk
47,0.0,2,0,2.0,Low Risk
22,0.0,2,0,0.0,
25,0.0,2,0,1.0,Low Risk
43,0.0,2,0,4.0,Low Risk
34,106937.05,2,0,1.5,Low Risk
59,170331.37,1,0,13.5,Low Risk
32,114510.85,1,0,1.5,Low Risk
39,0.0,2,0,0.0,
32,107594.11,2,0,0.5,Low Risk
39,81273.13,1,0,2.5,Low Risk
32,169399.6,1,0,3.0,Low Risk
25,0.0,2,0,0.0,
45,187841.99,2,0,11.5,Low Risk
30,0.0,2,0,1.5,Low Risk
57,126776.3,2,0,11.0,Low Risk
34,126436.29,1,1,64.5,Medium Risk
41,101960.74,1,0,0.5,Low Risk
58,0.0,2,0,7.5,Low Risk
28,0.0,2,0,1.0,Low Risk
45,150842.93,1,1,78.0,High Risk
50,102535.57,1,0,51.0,Medium Risk
29,99027.61,2,0,4.0,Low Risk
68,0.0,2,0,5.5,Low Risk
33,0.0,1,0,12.0,Low Risk
42,87271.41,2,0,6.0,Low Risk
35,102742.91,2,0,3.0,Low Risk
34,40105.51,2,0,1.5,Low Risk
29,152265.43,1,0,1.0,Low Risk
42,141947.67,1,0,6.0,Low Risk
75,106307.91,2,0,13.0,Low Risk
31,107884.81,2,0,1.0,Low Risk
31,125013.72,1,0,2.5,Low Risk
35,58469.37,2,0,1.0,Low Risk
39,0.0,1,0,4.5,Low Risk
45,117231.63,3,1,94.5,High Risk
35,152390.26,1,0,2.0,Low Risk
30,34013.63,1,0,17.5,Low Risk
39,0.0,3,1,85.0,High Risk
50,0.0,2,0,28.999999999999996,Low Risk
36,101583.11,2,0,9.5,Low Risk
30,77168.87,2,0,1.0,Low Risk
28,124695.72,2,0,3.0,Low Risk
44,105934.96,1,0,24.0,Low Risk
66,0.0,1,0,9.5,Low Risk
46,0.0,2,0,1.5,Low Risk
62,0.0,2,0,0.5,Low Risk
45,0.0,2,0,5.5,Low Risk
21,161525.96,2,0,7.5,Low Risk
29,147199.07,1,0,12.5,Low Risk
38,183102.29,1,0,3.0,Low Risk
46,127209.0,2,1,76.0,High Risk
38,0.0,2,1,65.0,Medium Risk
24,97378.54,1,0,1.5,Low Risk
37,136925.09,2,0,2.5,Low Risk
33,54503.55,1,0,7.000000000000001,Low Risk
32,155726.85,1,0,12.0,Low Risk
39,0.0,2,0,1.5,Low Risk
66,135842.41,1,1,78.0,High Risk
52,63349.75,1,0,30.0,Low Risk
38,129499.42,1,0,6.5,Low Risk
52,0.0,2,0,6.0,Low Risk
36,70438.01,2,0,3.0,Low Risk
23,0.0,2,0,0.0,
36,0.0,1,0,6.5,Low Risk
49,141434.04,1,1,80.5,High Risk
37,0.0,2,0,0.5,Low Risk
37,152958.29,2,0,1.5,Low Risk
41,138306.34,1,0,12.5,Low Risk
23,0.0,2,0,2.5,Low Risk
38,0.0,2,0,0.0,
31,124328.84,1,0,1.0,Low Risk
41,181461.48,3,1,93.5,High Risk
35,0.0,2,0,0.0,
26,0.0,2,0,0.0,
61,110368.03,1,1,78.0,High Risk
39,89588.35,1,0,5.0,Low Risk
46,0.0,2,0,3.5000000000000004,Low Risk
28,0.0,2,0,0.5,Low Risk
60,115924.89,1,1,95.0,High Risk
38,0.0,2,0,26.5,Low Risk
40,111756.5,1,1,76.0,High Risk
35,0.0,1,0,11.5,Low Risk
39,0.0,1,0,8.5,Low Risk
26,162923.85,1,0,5.0,Low Risk
39,124576.65,2,0,12.0,Low Risk
45,80793.58,1,0,12.5,Low Risk
40,71340.09,1,0,41.5,Medium Risk
40,99282.63,1,1,76.0,High Risk
57,137946.39,1,1,74.5,High Risk
41,127892.57,2,0,3.0,Low Risk
33,101084.36,1,0,19.0,Low Risk
37,114754.08,1,1,75.5,High Risk
33,0.0,1,0,9.0,Low Risk
51,99286.98,1,0,41.0,Medium Risk
30,79871.02,2,0,6.5,Low Risk
35,104088.59,2,0,4.0,Low Risk
38,168190.33,2,0,5.0,Low Risk
42,85679.25,1,0,15.0,Low Risk
35,0.0,1,0,7.5,Low Risk
31,0.0,2,0,0.0,
34,121551.58,2,0,2.5,Low Risk
46,122220.19,1,0,9.5,Low Risk
47,116528.15,1,1,81.0,High Risk
26,77780.29,1,0,2.0,Low Risk
37,0.0,1,0,7.5,Low Risk
40,125832.2,1,0,3.5000000000000004,Low Risk
38,68065.8,1,1,69.5,Medium Risk
47,127299.34,2,0,49.5,Medium Risk
38,174937.64,1,0,8.0,Low Risk
40,0.0,2,0,1.5,Low Risk
31,110071.1,1,0,4.0,Low Risk
44,139432.37,1,0,10.5,Low Risk
39,127357.76,1,0,10.5,Low Risk
36,0.0,2,0,1.0,Low Risk
33,0.0,1,0,17.5,Low Risk
38,0.0,2,0,3.0,Low Risk
43,95556.31,1,1,74.5,High Risk
37,0.0,1,0,3.5000000000000004,Low Risk
29,111681.98,2,0,5.0,Low Risk
39,0.0,2,0,2.5,Low Risk
25,108738.71,2,0,9.0,Low Risk
32,133950.37,1,1,59.0,Medium Risk
26,0.0,2,0,0.0,
33,89968.69,1,0,0.0,
32,0.0,2,0,3.5000000000000004,Low Risk
38,130878.75,3,1,96.5,High Risk
35,0.0,2,0,0.5,Low Risk
35,0.0,2,0,0.0,
27,134169.62,1,0,13.5,Low Risk
37,149762.08,1,1,67.5,Medium Risk
26,93844.69,1,0,2.5,Low Risk
28,0.0,2,0,0.0,
33,0.0,2,0,1.0,Low Risk
46,141078.37,1,1,63.0,Medium Risk
31,117992.59,1,0,15.5,Low Risk
40,100812.33,2,0,5.5,Low Risk
38,0.0,1,0,9.0,Low Risk
29,80262.6,1,0,1.0,Low Risk
34,156478.62,1,0,6.5,Low Risk
23,0.0,2,0,2.0,Low Risk
37,0.0,3,0,39.5,Low Risk
37,115217.99,2,0,10.5,Low Risk
61,0.0,2,1,87.0,High Risk
35,155470.55,1,0,0.5,Low Risk
37,0.0,2,0,1.0,Low Risk
39,135096.77,1,1,70.5,High Risk
30,0.0,2,0,4.5,Low Risk
55,180075.22,1,0,11.0,Low Risk
29,97541.24,1,0,9.5,Low Risk
41,156067.05,1,0,6.5,Low Risk
38,81550.94,2,0,2.0,Low Risk
47,0.0,1,1,78.0,High Risk
38,170061.92,2,1,21.5,Low Risk
36,92310.54,2,0,2.5,Low Risk
32,169089.38,2,0,7.000000000000001,Low Risk
40,80613.93,1,0,6.0,Low Risk
26,121581.56,2,0,1.5,Low Risk
58,0.0,1,1,43.5,Medium Risk
32,0.0,2,0,0.0,
54,0.0,2,0,0.5,Low Risk
60,85891.55,1,1,88.0,High Risk
44,77637.35,2,0,5.5,Low Risk
41,0.0,1,0,19.0,Low Risk
31,0.0,2,0,0.0,
30,116927.89,1,0,7.5,Low Risk
40,137326.65,1,0,51.0,Medium Risk
22,0.0,2,0,0.5,Low Risk
37,0.0,2,0,1.5,Low Risk
31,67238.98,2,0,2.5,Low Risk
38,86569.76,2,0,3.0,Low Risk
34,0.0,2,0,0.5,Low Risk
34,133598.4,1,0,1.0,Low Risk
51,136188.78,1,1,83.0,High Risk
38,0.0,2,0,0.0,
56,0.0,3,1,69.0,Medium Risk
37,120092.52,2,0,10.0,Low Risk
48,101238.24,2,1,68.0,Medium Risk
58,89685.92,1,0,6.0,Low Risk
35,211774.31,1,1,78.5,High Risk
56,131317.48,1,0,14.499999999999998,Low Risk
37,93722.73,2,0,4.0,Low Risk
32,101160.99,1,0,9.5,Low Risk
48,120320.54,1,0,48.5,Medium Risk
31,0.0,2,0,3.5000000000000004,Low Risk
43,0.0,2,0,0.0,
26,0.0,2,0,0.0,
48,152827.99,1,1,86.0,High Risk
30,64097.75,1,0,2.0,Low Risk
57,119035.35,2,0,8.5,Low Risk
26,135219.57,1,0,3.5000000000000004,Low Risk
32,93694.42,1,0,0.0,
35,59408.63,1,0,8.0,Low Risk
40,114354.95,1,0,6.0,Low Risk
59,0.0,1,1,93.5,High Risk
35,128173.9,2,0,8.0,Low Risk
34,0.0,2,0,0.0,
62,114931.35,3,1,94.0,High Risk
28,111071.36,1,1,72.5,High Risk
37,151226.18,2,0,1.5,Low Risk
26,0.0,2,0,0.0,
42,64740.12,1,0,6.5,Low Risk
51,169312.13,1,1,87.5,High Risk
49,0.0,3,1,92.0,High Risk
44,112652.08,2,0,8.0,Low Risk
38,0.0,2,0,0.5,Low Risk
30,143964.36,2,0,0.5,Low Risk
49,122451.46,2,0,4.0,Low Risk
24,0.0,3,0,18.5,Low Risk
36,65253.07,2,0,4.0,Low Risk
47,106901.94,1,1,86.5,High Risk
25,128509.63,1,0,2.5,Low Risk
34,0.0,2,0,1.5,Low Risk
33,129834.67,1,0,9.5,Low Risk
51,154962.99,3,1,91.0,High Risk
40,138241.9,2,0,3.0,Low Risk
41,91536.93,1,1,75.0,High Risk
53,0.0,2,0,2.0,Low Risk
70,0.0,1,0,12.0,Low Risk
29,105204.01,1,0,7.5,Low Risk
61,152968.73,1,0,11.0,Low Risk
36,158261.68,1,0,1.0,Low Risk
46,0.0,1,1,63.5,Medium Risk
38,121021.05,1,0,10.0,Low Risk
36,0.0,2,0,0.0,
54,0.0,1,1,96.0,High Risk
63,137715.66,1,0,7.000000000000001,Low Risk
31,121192.22,2,0,1.5,Low Risk
31,0.0,3,0,12.5,Low Risk
44,100486.18,2,0,12.5,Low Risk
45,0.0,1,1,81.5,High Risk
35,92566.53,2,0,1.5,Low Risk
49,0.0,2,1,69.0,Medium Risk
40,110929.96,1,0,2.0,Low Risk
27,0.0,2,0,8.5,Low Risk
32,138901.61,1,0,11.5,Low Risk
30,123217.66,2,0,0.0,
41,0.0,1,0,18.5,Low Risk
39,0.0,2,0,0.0,
36,0.0,2,0,1.0,Low Risk
33,108431.87,2,1,69.5,Medium Risk
57,0.0,2,0,4.0,Low Risk
30,72392.41,1,0,11.5,Low Risk
51,119741.77,2,1,85.5,High Risk
51,100946.71,1,1,72.5,High Risk
53,170491.84,1,1,81.0,High Risk
44,0.0,1,0,7.000000000000001,Low Risk
36,0.0,1,0,4.5,Low Risk
47,157296.02,2,1,78.0,High Risk
38,144606.22,1,1,34.5,Low Risk
38,134811.3,1,0,5.5,Low Risk
34,115897.12,1,0,3.5000000000000004,Low Risk
32,82034.0,1,0,4.5,Low Risk
26,174318.13,2,0,7.5,Low Risk
41,114206.84,1,0,8.5,Low Risk
43,0.0,2,0,5.0,Low Risk
39,111574.41,1,0,17.0,Low Risk
57,162448.69,1,1,91.5,High Risk
34,148249.54,1,0,5.5,Low Risk
43,0.0,3,1,89.0,High Risk
26,123709.46,2,0,4.5,Low Risk
72,0.0,1,0,24.5,Low Risk
30,0.0,1,1,75.5,High Risk
37,150525.8,1,0,3.0,Low Risk
29,0.0,1,0,1.5,Low Risk
53,0.0,2,0,8.5,Low Risk
28,0.0,2,0,0.5,Low Risk
35,0.0,2,0,0.0,
51,111018.98,1,0,32.0,Low Risk
30,129755.99,1,0,5.5,Low Risk
27,0.0,2,0,2.5,Low Risk
64,129555.7,1,0,9.5,Low Risk
38,87202.38,1,0,3.5000000000000004,Low Risk
26,146133.39,1,0,7.000000000000001,Low Risk
31,0.0,1,1,71.5,High Risk
39,170184.99,2,0,7.5,Low Risk
62,140745.33,1,1,95.5,High Risk
42,139070.51,1,0,2.0,Low Risk
37,0.0,2,0,5.5,Low Risk
35,114193.24,1,0,2.5,Low Risk
40,167878.5,1,0,9.5,Low Risk
53,141616.55,2,0,7.5,Low Risk
36,145747.67,2,0,1.5,Low Risk
48,129120.64,1,0,16.0,Low Risk
35,110349.82,1,0,7.5,Low Risk
29,141325.56,1,0,1.0,Low Risk
49,78653.84,1,0,17.5,Low Risk
47,0.0,2,0,1.5,Low Risk
28,142253.65,1,0,6.0,Low Risk
61,0.0,1,1,97.0,High Risk
54,115988.86,1,1,94.0,High Risk
33,75592.43,1,0,9.0,Low Risk
44,164113.04,2,0,6.5,Low Risk
31,67996.23,2,1,65.0,Medium Risk
51,0.0,2,0,12.0,Low Risk
33,0.0,2,0,1.0,Low Risk
48,138778.15,1,0,14.000000000000002,Low Risk
43,147832.15,1,0,40.5,Medium Risk
36,135438.4,1,0,8.0,Low Risk
48,116060.08,1,1,77.0,High Risk
29,112564.62,1,0,6.0,Low Risk
27,125406.58,1,0,0.5,Low Risk
39,135134.99,1,1,71.5,High Risk
39,133102.92,1,1,72.5,High Risk
34,42157.08,1,1,72.5,High Risk
30,0.0,2,0,0.5,Low Risk
38,82259.29,1,0,6.5,Low Risk
36,0.0,2,0,7.000000000000001,Low Risk
38,0.0,2,0,0.0,
49,0.0,2,0,16.0,Low Risk
52,0.0,1,0,42.0,Medium Risk
42,150461.07,1,0,11.5,Low Risk
48,133994.52,1,1,89.5,High Risk
31,164870.81,2,0,3.5000000000000004,Low Risk
25,121702.73,1,0,2.5,Low Risk
25,193858.2,1,0,7.000000000000001,Low Risk
54,131039.97,2,0,21.5,Low Risk
64,113829.45,1,0,12.0,Low Risk
30,0.0,2,0,0.0,
41,81877.38,1,0,12.0,Low Risk
57,116326.07,1,0,11.0,Low Risk
31,0.0,2,0,1.5,Low Risk
46,0.0,2,0,2.0,Low Risk
41,0.0,2,0,12.5,Low Risk
33,0.0,2,0,0.0,
31,127070.73,1,0,4.5,Low Risk
29,0.0,2,0,0.0,
46,122549.64,1,0,17.0,Low Risk
42,176099.13,1,0,15.0,Low Risk
48,122388.38,2,0,23.0,Low Risk
42,0.0,2,0,3.0,Low Risk
26,0.0,1,0,1.0,Low Risk
32,118879.35,2,0,3.5000000000000004,Low Risk
35,0.0,2,0,0.0,
39,0.0,2,0,2.0,Low Risk
38,88736.44,2,0,14.000000000000002,Low Risk
45,102703.62,1,1,59.5,Medium Risk
70,0.0,2,0,1.0,Low Risk
38,0.0,2,0,19.5,Low Risk
55,97318.25,1,0,12.5,Low Risk
